Contract A,Contract B,Similarity
ERC1967Proxy_0xebf6.sol,ERC1967Proxy_0x445f.sol,100.0
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0xebf6.sol,100.0
ERC1967Proxy_0xe343.sol,ERC1967Proxy_0x0d9a.sol,100.0
ERC1967Proxy_0xe343.sol,TransparentUpgradeableProxy_0xbca3.sol,100.0
Proxy_0x8769.sol,Proxy_0x6a41.sol,100.0
ERC1967Proxy_0x5c7b.sol,TransparentUpgradeableProxy_0xda9c.sol,100.0
ERC1967Proxy_0x0d9a.sol,TransparentUpgradeableProxy_0xbca3.sol,100.0
GnosisSafeProxy_0xb209.sol,GnosisSafeProxy_0x54a3.sol,100.0
Proxy_0x8769.sol,Proxy_0x6daf.sol,100.0
TransparentUpgradeableProxy_0x7623.sol,ERC1967Proxy_0x5c7b.sol,100.0
ERC1967Proxy_0xe343.sol,TransparentUpgradeableProxy_0xd72a.sol,100.0
AdminUpgradeabilityProxy_0x6c3e.sol,AdminUpgradeabilityProxy_0x4580.sol,100.0
RootChainManagerProxy_0xd060.sol,RootChainManagerProxy_0xa0c6.sol,100.0
TransparentUpgradeableProxy_0x5aea.sol,TransparentUpgradeableProxy_0xd72a.sol,100.0
ERC1967Proxy_0x0d9a.sol,TransparentUpgradeableProxy_0xd72a.sol,100.0
ERC1967Proxy_0x0d9a.sol,TransparentUpgradeableProxy_0x5aea.sol,100.0
TransparentUpgradeableProxy_0x5aea.sol,TransparentUpgradeableProxy_0xbca3.sol,100.0
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x445f.sol,100.0
ERC1967Proxy_0xe343.sol,TransparentUpgradeableProxy_0x5aea.sol,100.0
ERC1967Proxy_0x1169.sol,ERC1967Proxy_0x61e2.sol,100.0
TransparentUpgradeableProxy_0x7623.sol,TransparentUpgradeableProxy_0xda9c.sol,100.0
TransparentUpgradeableProxy_0x2ddd.sol,TransparentUpgradeableProxy_0x7623.sol,100.0
TransparentUpgradeableProxy_0x2ddd.sol,ERC1967Proxy_0x5c7b.sol,100.0
Proxy_0x6daf.sol,Proxy_0x6a41.sol,100.0
