Contract A,Contract B,Similarity,Size A,Size B
SafeProxy_0x5881.sol,SafeProxy_0x9a15.sol,100.0,2072,2072
ERC1967Proxy_0x5c7b.sol,ERC1967Proxy_0x6e2a.sol,100.0,38428,38428
GnosisSafeProxy_0xa684.sol,GnosisSafeProxy_0xf633.sol,100.0,7892,7892
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x7598.sol,100.0,35097,35070
ERC1967Proxy_0x5ccb.sol,ERC1967Proxy_0x604d.sol,100.0,23612,23612
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0xbca3.sol,100.0,44163,44163
TransparentUpgradeableProxy_0xf668.sol,ERC1967Proxy_0xfaf1.sol,100.0,40127,40127
SafeProxy_0x9a15.sol,SafeProxy_0x9eb8.sol,100.0,2072,2072
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0xbca3.sol,100.0,44163,44163
SafeProxy_0x5881.sol,SafeProxy_0x9eb8.sol,100.0,2072,2072
DVN_0x589d.sol,DVN_0xa59b.sol,100.0,109056,109056
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0x238a.sol,100.0,44163,44163
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0xec53.sol,100.0,35097,35070
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x18cc.sol,100.0,35097,35097
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0xebf6.sol,100.0,26631,26631
AdminUpgradeabilityProxy_0x6c3e.sol,AdminUpgradeabilityProxy_0x4580.sol,100.0,9862,9858
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0xebf6.sol,100.0,26631,26631
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0xee7a.sol,100.0,26631,26631
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x7598.sol,100.0,35097,35070
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0xec53.sol,100.0,35097,35070
TransparentUpgradeableProxy_0x7598.sol,TransparentUpgradeableProxy_0xec53.sol,100.0,35070,35070
EthcoinProxy_0xe957.sol,PProxy_0x4c17.sol,99.7,22502,22504
TransparentUpgradeableProxy_0x85ec.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,99.51,28908,28981
UUPSProxy_0x031d.sol,ERC1967Proxy_0xf4e1.sol,99.28,24331,23725
FiatTokenProxy_0xa0b8.sol,AdminUpgradeabilityProxy_0x4580.sol,98.55,10684,9858
AdminUpgradeabilityProxy_0x6c3e.sol,FiatTokenProxy_0xa0b8.sol,98.55,9862,10684
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0x328f.sol,98.4,36734,40825
ENA_0x57e1.sol,SynFuturesToken_0x6e15.sol,98.22,76453,67820
TransparentUpgradeableProxy_0x85ec.sol,ERC1967Proxy_0x5ccb.sol,97.82,28908,23612
TransparentUpgradeableProxy_0x85ec.sol,ERC1967Proxy_0x604d.sol,97.82,28908,23612
OptimizedTransparentUpgradeableProxy_0x1732.sol,ERC1967Proxy_0x604d.sol,97.35,28981,23612
ERC1967Proxy_0x5ccb.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,97.35,23612,28981
ERC1967Proxy_0x328f.sol,TransparentUpgradeableProxy_0xf668.sol,97.11,40825,40127
ERC1967Proxy_0x328f.sol,ERC1967Proxy_0xfaf1.sol,97.11,40825,40127
ERC1967Proxy_0xebf6.sol,ERC1967Proxy_0x5ccb.sol,97.06,26631,23612
ERC1967Proxy_0xebf6.sol,ERC1967Proxy_0x604d.sol,97.06,26631,23612
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x604d.sol,97.06,26631,23612
ERC1967Proxy_0xb773.sol,ERC1967Proxy_0x5ccb.sol,97.06,26631,23612
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x604d.sol,97.06,26631,23612
ERC1967Proxy_0xee7a.sol,ERC1967Proxy_0x5ccb.sol,97.06,26631,23612
BeaconProxy_0x74a0.sol,ERC1967Proxy_0x604d.sol,96.9,23776,23612
BeaconProxy_0x74a0.sol,ERC1967Proxy_0x5ccb.sol,96.9,23776,23612
TetherUSD_0x3f69.sol,Open_0xa227.sol,96.49,25680,24861
FixedToken_0xd441.sol,Turbo_0xa359.sol,96.01,17919,21588
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x18cc.sol,95.24,26631,35097
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x2e51.sol,95.24,26631,35097
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x18cc.sol,95.24,26631,35097
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x7598.sol,95.24,26631,35070
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0xec53.sol,95.24,26631,35070
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0xec53.sol,95.24,26631,35070
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x7598.sol,95.24,26631,35070
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x18cc.sol,95.24,26631,35097
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0xee7a.sol,95.24,35097,26631
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0xec53.sol,95.24,26631,35070
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x7598.sol,95.24,26631,35070
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0xebf6.sol,95.24,35097,26631
FF_0xfa1c.sol,BTR_0x6c76.sol,94.91,150922,187609
JasmyCoin_0x7420.sol,ZigCoin_0xb261.sol,94.89,18886,19009
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0xfaf1.sol,94.78,36734,40127
BeaconProxy_0x74a0.sol,TransparentUpgradeableProxy_0x85ec.sol,94.78,23776,28908
TransparentUpgradeableProxy_0xb3fa.sol,TransparentUpgradeableProxy_0xf668.sol,94.78,36734,40127
FixedToken_0xd441.sol,SimpleToken_0x4d22.sol,94.73,17919,16736
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0xec53.sol,94.72,44163,35070
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0xbca3.sol,94.72,35097,44163
TransparentUpgradeableProxy_0x7598.sol,TransparentUpgradeableProxy_0xbca3.sol,94.72,35070,44163
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0xec53.sol,94.72,44163,35070
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0x7598.sol,94.72,44163,35070
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0x7598.sol,94.72,44163,35070
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x3328.sol,94.72,35097,44163
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x238a.sol,94.72,35097,44163
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x3328.sol,94.72,35097,44163
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x238a.sol,94.72,35097,44163
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0xbca3.sol,94.72,35097,44163
TransparentUpgradeableProxy_0xbca3.sol,TransparentUpgradeableProxy_0xec53.sol,94.72,44163,35070
UUPSProxy_0x031d.sol,PProxy_0x4c17.sol,94.62,24331,22504
UUPSProxy_0x031d.sol,EthcoinProxy_0xe957.sol,94.56,24331,22502
BeaconProxy_0x74a0.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.47,23776,28981
ERC1967Proxy_0xee7a.sol,TransparentUpgradeableProxy_0x85ec.sol,94.41,26631,28908
ERC1967Proxy_0xb773.sol,TransparentUpgradeableProxy_0x85ec.sol,94.41,26631,28908
ERC1967Proxy_0xebf6.sol,TransparentUpgradeableProxy_0x85ec.sol,94.41,26631,28908
UUPSProxy_0x031d.sol,TransparentUpgradeableProxy_0xb3fa.sol,94.38,24331,36734
ERC1967Proxy_0xee7a.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.17,26631,28981
ERC1967Proxy_0xebf6.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.17,26631,28981
ERC1967Proxy_0xb773.sol,OptimizedTransparentUpgradeableProxy_0x1732.sol,94.17,26631,28981
ERC1967Proxy_0xf4e1.sol,EthcoinProxy_0xe957.sol,93.97,23725,22502
ERC1967Proxy_0xf4e1.sol,PProxy_0x4c17.sol,93.93,23725,22504
BeaconProxy_0x74a0.sol,ERC1967Proxy_0xee7a.sol,93.91,23776,26631
BeaconProxy_0x74a0.sol,ERC1967Proxy_0xb773.sol,93.91,23776,26631
BeaconProxy_0x74a0.sol,ERC1967Proxy_0xebf6.sol,93.91,23776,26631
TransparentUpgradeableProxy_0xb3fa.sol,ERC1967Proxy_0xf4e1.sol,93.89,36734,23725
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x5ccb.sol,93.45,35097,23612
ERC1967Proxy_0x5ccb.sol,TransparentUpgradeableProxy_0xec53.sol,93.45,23612,35070
TransparentUpgradeableProxy_0x18cc.sol,ERC1967Proxy_0x604d.sol,93.45,35097,23612
TransparentUpgradeableProxy_0x7598.sol,ERC1967Proxy_0x604d.sol,93.45,35070,23612
TransparentUpgradeableProxy_0x2e51.sol,ERC1967Proxy_0x604d.sol,93.45,35097,23612
TransparentUpgradeableProxy_0x18cc.sol,ERC1967Proxy_0x5ccb.sol,93.45,35097,23612
ERC1967Proxy_0x604d.sol,TransparentUpgradeableProxy_0xec53.sol,93.45,23612,35070
TransparentUpgradeableProxy_0x7598.sol,ERC1967Proxy_0x5ccb.sol,93.45,35070,23612
TransparentUpgradeableProxy_0x85ec.sol,TransparentUpgradeableProxy_0x18cc.sol,93.42,28908,35097
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x85ec.sol,93.42,35097,28908
